0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:08:43 -0300] "GET /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:10:34 -0300] "GET /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 500 2826
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:10:41 -0300] "GET /ProjetoLivraria/ HTTP/1.1" 200 2494
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:10:43 -0300] "GET /ProjetoLivraria/pesquisaLivroPorId.jsp HTTP/1.1" 200 2160
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:10:45 -0300] "GET /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 500 2826
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:11:20 -0300] "GET /ProjetoLivraria HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:11:20 -0300] "GET /ProjetoLivraria/ HTTP/1.1" 200 2494
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:11:22 -0300] "GET /ProjetoLivraria/pesquisaLivroPorId.jsp HTTP/1.1" 200 2160
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:11:25 -0300] "GET /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 500 2826
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:12:18 -0300] "GET /ProjetoLivraria HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:12:18 -0300] "GET /ProjetoLivraria/ HTTP/1.1" 200 2494
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:12:19 -0300] "GET /ProjetoLivraria/pesquisaLivroPorId.jsp HTTP/1.1" 200 2160
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:12:23 -0300] "GET /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 500 2848
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:15:03 -0300] "GET /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 500 3897
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:15:26 -0300] "GET /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 941
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:15:32 -0300] "GET /ProjetoLivraria/ HTTP/1.1" 200 2494
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:15:33 -0300] "GET /ProjetoLivraria/pesquisaLivroPorId.jsp HTTP/1.1" 200 2160
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:15:35 -0300] "GET /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 941
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:18:28 -0300] "GET /ProjetoLivraria/pesquisaLivroPorId.jsp HTTP/1.1" 200 2122
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:18:36 -0300] "GET /ProjetoLivraria/pesquisaLivroPorId.jsp HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:18:45 -0300] "GET /ProjetoLivraria/pesquisaLivroPorId.jsp HTTP/1.1" 200 2130
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:20:21 -0300] "GET /ProjetoLivraria/pesquisaLivroPorId.jsp HTTP/1.1" 200 2191
